2026-02-02 16:42:36 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:37 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:38 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:42:38 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:38 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:39 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:39 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:40 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:40 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:41 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:41 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:41 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:42:41 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:42:43 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:44 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:45 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:45 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:45 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:46 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:46 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:42:46 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:46 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:47 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:47 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:48 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:48 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:49 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:42:49 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:42:50 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:51 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:52 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:42:53 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:53 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:53 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:54 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:54 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:54 | INFO     | src.core.ws_client:connect:38 - 正在连接: 默认服务 (ws://localhost:9000/ws)
2026-02-02 16:42:56 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 正经机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:56 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 正经机器人服务
2026-02-02 16:42:56 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 可爱机器人服务 - did not receive a valid HTTP response
2026-02-02 16:42:56 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 可爱机器人服务
2026-02-02 16:42:57 | ERROR    | src.core.ws_client:connect:48 - 连接失败: 默认服务 - did not receive a valid HTTP response
2026-02-02 16:42:57 | INFO     | src.core.ws_client:_reconnect:134 - 5 秒后重连: 默认服务
2026-02-02 16:42:58 | INFO     | src.core.ws_client:connect:38 - 正在连接: 可爱机器人服务 (ws://localhost:9001/ws)
2026-02-02 16:42:59 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
2026-02-02 16:43:01 | INFO     | src.core.ws_client:connect:38 - 正在连接: 正经机器人服务 (ws://localhost:9002/ws)
